"","text"
"106","@PakAjiMumpung Sering sering buka aplikasi @gojekindonesia pak nanti dapat pemberitahuan biasanya. Terus juga sama follow follow akunnya gojek sama @gopayindonesia di ig maupun twitter. Biar apdet juga hwehehehe itu sih yang biasanya tak lakuin pak <U+0001F601> semoga membantu #2019AjiMumpung"
"107","@gopayindonesia @PakAjiMumpung THANKS GOD"
"108","@PakAjiMumpung @gopayindonesia Wah kabar yang sangat membahgiakan terimaksih bosque"
"109","@raynugraha89 @csjd_id @MediaKonsumenID @gopayindonesia Hi kak mohon maaf atas ketidaknyamanannya. Sesuai dgn informasi melalui DM saat ini refund akan telah terproses dan akan kembali ke saldo gopay kamu dgn estimasi 3 hari kerja ya. Semoga refund dapat segera diterima. Trims *LM"
"110","@gopayindonesia @PakAjiMumpung Judulnya ganti ""KOPLAK"" aja min, <U+0001F64A><U+0001F64A><U+0001F64A>#JK"
"111","@gopayindonesia @PakAjiMumpung S&amp;k detailnya gimana nih min?
Kalau bisa sertakan s&amp;k biar gak bingung"
"112","Customer service @gojekindonesia @gopayindonesia libur ya pas weekend? Slow response banget. Dari hari Jumat, masalah top-up Gopay belum solve. Cuma bolak balik nanya nomor laporan lalu ghosting <U+0001F611>"
"113","@gopayindonesia read this https://t.co/bmbGoQElIQ"
"114","4. Semua rakyat aji mumpung pasti bahagia karena bersama @gopayindonesia sy punya program agar kalian bisa belanja lebih hemat dan sejahtera. #2019AjiMumpung"
"115","Hmm bisa sy simpulkan bahwa @alfamart memiliki ragam promo dari @gopayindonesia, mungkin @Indomaret bisa mempertimbangkan kerjasama dengn @ovo_id juga untuk menyejahterakan rakyat aji mumpung! <U+0001F44D><U+0001F3FC> #2019AjiMumpung!"
"116","@gopayindonesia @PakAjiMumpung Thnks god :’)"
"117","@gopayindonesia @shitlicious @pergijauh nyaut ae kyk wifi"
"118","@gopayindonesia @shitlicious @pergijauh Lol"
"119","Ngemall hari ini dapet cashback dari @gopayindonesia sampe 50.000.

Terima kasih para investor."
"120","Nyari makan sekitar kampus

Temen ogud: nyari yg murah aja makannya

Ogud: pokonya yg ada qr code gopaynya:)

Makasih bgt @gopayindonesia udah nyebarin qr code ke warung2 kecil sekitar kampusq"
"121","@gopayindonesia hallo, saya mau top up pubg kok cbnya tidak langsung terpotong di billnya ya?"
"122","@Stfdhllh @dekasur @risanadr @shitlicious @gopayindonesia Ini gopay nyamber aja"
"123","@gopayindonesia usul....deposit bbrp juta untuk diaturin makan selama sebulan...bisa ga....jd uang berkurang sesuai menu....kan lmyan mulai masuk ke konsumsi bulanan orang per orang..."
"124","@gopayindonesia min kalau sekarang isi gopay lewat BCA aman ga hehe ? Takutnya kayak dulu ga masuk2"
"125","Mangtabs @gopayindonesia biarpun payment belum sebanyak @ovo_id tapi gw lebih suka <U+0001F31F><U+0001F31F><U+0001F31F><U+0001F31F><U+0001F31F>"
"126","Mesin @gopayindonesia di Solaria T3 Ultimate gak nyala. Pas mau bayar, kasir bilang sinyal ga ada, lalu sign cashback pake gopay dia turunkan ke bawah counter kasir <U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F>
Simple yak solusinya? #manacashbackgue"
"127","@gopayindonesia Tolong respon DM saya min"
"128","@gojekindonesia @gopayindonesia Min, hari ini saya mendapatkan voucher go-bills 30% (max 15rb) dan saya transaksikan beli Token PLN 50rb kok cashback yg di dapat hanya 10% ? Padahal pas transaksi voucher 30%-nya ada."
"129","@gopayindonesia @shitlicious @pergijauh Gopay dan gofar. Siap."
"130","@dekasur @risanadr @shitlicious @gopayindonesia Ngukuk <U+0001F923><U+0001F923>"
"131","@bmstwn @gopayindonesia katakan https://t.co/MVav5SCc2W"
"132","@risanadr @shitlicious @gopayindonesia <U+0001F602>"
"133","@shitlicious @gopayindonesia S3 marketing onlin"
"134","@gopayindonesia Salut, soalnya lo ngasih cashback kalo jajan di cafe gue~"
"135","Thanks @gopayindonesia @gojekindonesia itu voucher cashback 40% nya lottemart. Mudah2n bs sy manfaatken sebaek2nyah"
"136","@gopayindonesia Gmn caranya?"
"137","@gopayindonesia barusan isi token listrik 50rb karena lihat ada voucher cb 30% (max 10rb). Udh ngisi, tp kok ga dapet cb nya?"
